kegg_id,organism_id,kegg_org_code,organism_name,species_name,genus_name,peptide_count,protein_count,strong_peptide_count,taxonomic_group,organism_hits,group_hits,orgscores,pos_scores
U9913,1,9913,Bos taurus,taurus,Bos,652649,23844,554285,1,3,7,7,7
U2711,3,2711,Citrus sinensis,sinensis,Citrus,572368,28128,471745,1,4,7,7,7
U6565,5,6565,Crassostrea virginica,virginica,Crassostrea,876976,33719,805672,5,4,4,4,4
U3988,6,3988,Ricinus communis,communis,Ricinus,630447,31219,520219,4,4,4,4,4
U296,7,296,Pseudomonas fragi,fragi,Pseudomonas,85668,4324,76797,3,302,302,302,302
U8040,8,8040,Salvelinus namaycush,namaycush,Salvelinus,696618,35973,599782,6,330,330,330,330
